citizen_id,first_name,last_name,race,date_of_birth,height_centimeters,uploaded_timestamp
1,Merlin,Ambrosius,Wizard,07/08/1003,5.97,2025-05-05 14:30:00
2,Lancelot,DuLac,Human,23/01/1132,6.1,2025-05-05 14:30:00
3,Galadriel,Lorien,Elf,14/03/1045,6.2,2025-05-05 14:30:00
4,Gob,Snark,Goblin,28/11/1107,3.9,2025-05-05 14:30:00
5,Morgana,LeFay,Wizard,03/06/1019,5.6,2025-05-05 14:30:00
6,Arwen,Evenstar,Elf,19/10/1094,5.8,2025-05-05 14:30:00
7,Arthur,Pendragon,Human,11/02/1290,6,2025-05-05 14:30:00
8,Thrain,Oakenshield,Dwarf,25/07/1126,4.4,2025-05-05 14:30:00
9,Eowyn,Rohan,Human,30/09/1022,5.6,2025-05-05 14:30:00
10,Frodo,Baggins,Hobbit,04/12/1110,3.5,2025-05-05 14:30:00
11,Gandalf,TheGrey,Wizard,17/04/1058,5.9,2025-05-05 14:30:00
12,Legolas,Greenleaf,Elf,09/01/1140,6.2,2025-05-05 14:30:00
13,Gimli,Glóin,Dwarf,22/08/1008,4.3,2025-05-05 14:30:00
14,Bilbo,Baggins,Hobbit,15/05/1143,3.4,2025-05-05 14:30:00
15,Saruman,White,Wizard,06/10/1195,6.2,2025-05-05 14:30:00
16,Samwise,Gamgee,Hobbit,01/07/1063,3.5,2025-05-05 14:30:00
17,Pippin,Took,Hobbit,12/03/1081,3.4,2025-05-05 14:30:00
18,Boromir,Gondor,Human,26/11/1037,5.9,2025-05-05 14:30:00
19,Faramir,Gondor,Human,08/06/1135,5.8,2025-05-05 14:30:00
20,Elrond,Halfelven,Elf,20/04/1097,6.1,2025-05-05 14:30:00
21,Radagast,Brown,Wizard,13/09/1001,5.7,2025-05-05 14:30:00
22,Thranduil,Woodland,Elf,05/05/1119,6.3,2025-05-05 14:30:00
23,Sauron,Deceiver,Maia,18/02/1033,6.9,2025-05-05 14:30:00
24,Glorfindel,HouseofGoldenFlower,Elf,29/07/1144,6.2,2025-05-05 14:30:00
25,Isildur,King,Human,02/11/1011,6,2025-05-05 14:30:00
26,Anarion,King,Human,16/06/1087,5.9,2025-05-05 14:30:00
27,Celeborn,SilverTree,Elf,24/12/1121,6.2,2025-05-05 14:30:00
28,Halbarad,Dúnedain,Human,10/10/1029,6,2025-05-05 14:30:00
29,Eomer,Rohan,Human,21/01/1074,6,2025-05-05 14:30:00
30,Theoden,King,Human,27/03/1050,5.9,2025-05-05 14:30:00
